epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,1.6739668376192973,1.7013426873939435,67.85015011493508,91.14998042031067,0.001
1,1.4278367219055519,0.8402627502529043,82.16942958037578,96.0318496279859,0.0018
2,1.348252155737113,0.6154041357504731,85.0019579709253,97.20663098812166,0.0026
3,1.2977651306434055,0.5381746579673019,86.37253622441702,97.48074663882,0.0034000000000000002
4,1.2552832707318196,0.5028703174459112,87.07740504049848,97.62433102728103,0.004200000000000001
5,1.2194130710204134,0.48566192479563697,87.66479572056635,97.70264978462342,0.00499229333433282
6,1.1696664916518134,0.47690823575781555,87.7692207303562,97.82012792063699,0.0049889049115077
7,1.1306049357688999,0.47252562313381086,88.06944263350199,97.85928729930818,0.004984902388637949
8,1.0917434477272665,0.47037230345867054,88.1999738957393,97.80707479441327,0.004980286753286195
9,1.0608877139661252,0.4709870368689629,88.38271766287153,97.79402166818953,0.004975059144291394
10,1.0333740412512487,0.47613285584045817,88.48714267266138,97.72875603707088,0.0049692208514878445
11,1.0069455854527063,0.4813810029083997,88.60462080867495,97.62433102728103,0.004962773315386935
12,0.9856952787817839,0.48387639352320194,88.59156768245121,97.55906539616238,0.004955718126821722
13,0.9619908258028995,0.4877867544931308,88.38271766287153,97.45464038637253,0.0049480570265544145
14,0.9478703037619436,0.49165656345349007,88.52630205133256,97.3502153765827,0.004939791904846869
15,0.9291607291086175,0.49515533347678176,88.65683331356988,97.27189661924031,0.004930924800994192
16,0.9179088111904036,0.49922855577865977,88.68293956601734,97.1805247356742,0.004921457902821578
17,0.9050941450180711,0.4993386596631886,88.61767393489868,97.08915285210809,0.004911393546144495
18,0.8954843280187067,0.5007336965943577,88.78736457381542,97.06304659966062,0.004900734214192358
19,0.8869064657933208,0.5012576540523839,88.83957707871035,97.12831223077927,0.004889482536995825
20,0.8763691068623316,0.5030404446781996,88.80041770003916,97.20663098812166,0.0048776412907378846
21,0.8708834137994647,0.5066346115114296,88.89178958360527,97.06304659966062,0.004865213397068863
22,0.8650080303041852,0.5080646394889701,88.85263020493409,96.88030283252839,0.004852201922385564
23,0.8581810118642608,0.5082469402911255,88.89178958360527,96.77587782273855,0.004838610077074669
24,0.8529037464067011,0.5103117944428355,88.89178958360527,96.78893094896227,0.004824441214720628
25,0.8433218714424763,0.513482977525168,89.04842709829003,96.85419658008092,0.004809698831278217
26,0.840607179722588,0.5141878813960319,88.93094896227646,96.8411434538572,0.0047943865642099525
27,0.8367495713356868,0.5143126206521872,89.16590523430362,96.82809032763346,0.004778508191588613
28,0.830443592957099,0.5158552780519841,89.30948962276466,96.77587782273855,0.004762067631165049
29,0.8273458138069599,0.5185084151873124,88.98316146717139,96.76282469651481,0.004745068939401539
30,0.8239190813574345,0.5209731009995839,89.02232084783432,96.60618718183005,0.00472751631047092
31,0.821923332088343,0.5234884728403195,88.93094896426821,96.61924030805378,0.004709414075221734
32,0.8191970316391202,0.522392405400527,89.16590523430362,96.6714528129487,0.0046907667001096585
33,0.8130120480802736,0.5249054668124266,89.00926771961885,96.58008092938259,0.004671578786095479
34,0.8120617646574201,0.525383104155789,88.98316146717139,96.68450593917242,0.0046518550675098596
35,0.8073330322708138,0.5267445920668605,88.91789583605274,96.56702780315885,0.004631600410885231
36,0.8043837507875049,0.5246387238198138,88.904842709829,96.56702780315885,0.004610819813755038
37,0.8020543985445676,0.5256333235987265,88.904842709829,96.59313405560631,0.004589518403420676
38,0.7979167498909082,0.5265585228756037,88.904842709829,96.73671844406735,0.004567701435686404
39,0.7962077539679915,0.5310095719951295,88.97010834094766,96.63229343427751,0.004545374293562558
40,0.7961056423210449,0.5307948216183225,88.86568333115781,96.55397467693513,0.0045225424859373685
41,0.7941352496099998,0.5315320316579102,88.89178958360527,96.41039028847409,0.004499211646217727
42,0.7898504446259423,0.5295212096729784,88.81347082626289,96.55397467693513,0.004475387530939226
43,0.7896973985874235,0.5267954852372202,88.78736457381542,96.61924030805378,0.004451076018345824
44,0.7856457358281745,0.5256672231666476,89.00926771961885,96.55397467693513,0.004426283106939473
45,0.7820141456837629,0.528965814448791,88.99621459339512,96.68450593917242,0.004401014914000078
46,0.7803083142959035,0.5334372192430614,88.99621459339512,96.61924030805378,0.004375277674076149
47,0.781427993829303,0.5322998747970646,89.12674585563242,96.5017621720402,0.004349077737446524
48,0.7807746498849142,0.5326155032770485,88.95705521472392,96.58008092938259,0.004322421568553529
49,0.7785929227694772,0.5363312863040073,88.904842709829,96.5017621720402,0.004295315744407972
